"","city","type","GEOID","racial_majority","filings_2020","filings_avg","last_updated","xcourtcofips","md","month","year"
"1","Kansas City, MO","Census Tract","29095000300","White",0,0.75,"2024-08-10",NA,2020-01-01,1,2020
"2","Kansas City, MO","Census Tract","29095000300","White",1,1,"2024-08-10",NA,2020-02-01,2,2020
"3","Kansas City, MO","Census Tract","29095000300","White",1,3,"2024-08-10",NA,2020-03-01,3,2020
"4","Kansas City, MO","Census Tract","29095000300","White",0,1.5,"2024-08-10",NA,2020-04-01,4,2020
"5","Kansas City, MO","Census Tract","29095000300","White",0,1.5,"2024-08-10",NA,2020-05-01,5,2020
"6","Kansas City, MO","Census Tract","29095000300","White",0,1,"2024-08-10",NA,2020-06-01,6,2020
"7","Kansas City, MO","Census Tract","29095000300","White",0,4.25,"2024-08-10",NA,2020-07-01,7,2020
"8","Kansas City, MO","Census Tract","29095000300","White",1,1,"2024-08-10",NA,2020-08-01,8,2020
"9","Kansas City, MO","Census Tract","29095000300","White",1,2,"2024-08-10",NA,2020-09-01,9,2020
"10","Kansas City, MO","Census Tract","29095000300","White",2,0.25,"2024-08-10",NA,2020-10-01,10,2020
"11","Kansas City, MO","Census Tract","29095000300","White",0,1,"2024-08-10",NA,2020-11-01,11,2020
"12","Kansas City, MO","Census Tract","29095000300","White",0,1,"2024-08-10",NA,2020-12-01,12,2020
"13","Kansas City, MO","Census Tract","29095000300","White",3,0.75,"2024-08-10",NA,2021-01-01,1,2021
"14","Kansas City, MO","Census Tract","29095000300","White",1,1,"2024-08-10",NA,2021-02-01,2,2021
"15","Kansas City, MO","Census Tract","29095000300","White",0,3,"2024-08-10",NA,2021-03-01,3,2021
"16","Kansas City, MO","Census Tract","29095000300","White",3,1.5,"2024-08-10",NA,2021-04-01,4,2021
"17","Kansas City, MO","Census Tract","29095000300","White",1,1.5,"2024-08-10",NA,2021-05-01,5,2021
"18","Kansas City, MO","Census Tract","29095000300","White",1,1,"2024-08-10",NA,2021-06-01,6,2021
"19","Kansas City, MO","Census Tract","29095000300","White",0,4.25,"2024-08-10",NA,2021-07-01,7,2021
"20","Kansas City, MO","Census Tract","29095000300","White",6,1,"2024-08-10",NA,2021-08-01,8,2021
"21","Kansas City, MO","Census Tract","29095000300","White",1,2,"2024-08-10",NA,2021-09-01,9,2021
"22","Kansas City, MO","Census Tract","29095000300","White",3,0.25,"2024-08-10",NA,2021-10-01,10,2021
"23","Kansas City, MO","Census Tract","29095000300","White",1,1,"2024-08-10",NA,2021-11-01,11,2021
"24","Kansas City, MO","Census Tract","29095000300","White",0,1,"2024-08-10",NA,2021-12-01,12,2021
"25","Kansas City, MO","Census Tract","29095000300","White",2,0.75,"2024-08-10",NA,2022-01-01,1,2022
"26","Kansas City, MO","Census Tract","29095000300","White",3,1,"2024-08-10",NA,2022-02-01,2,2022
"27","Kansas City, MO","Census Tract","29095000300","White",1,3,"2024-08-10",NA,2022-03-01,3,2022
"28","Kansas City, MO","Census Tract","29095000300","White",3,1.5,"2024-08-10",NA,2022-04-01,4,2022
"29","Kansas City, MO","Census Tract","29095000300","White",0,1.5,"2024-08-10",NA,2022-05-01,5,2022
"30","Kansas City, MO","Census Tract","29095000300","White",1,1,"2024-08-10",NA,2022-06-01,6,2022
"31","Kansas City, MO","Census Tract","29095000300","White",5,4.25,"2024-08-10",NA,2022-07-01,7,2022
"32","Kansas City, MO","Census Tract","29095000300","White",5,1,"2024-08-10",NA,2022-08-01,8,2022
"33","Kansas City, MO","Census Tract","29095000300","White",2,2,"2024-08-10",NA,2022-09-01,9,2022
"34","Kansas City, MO","Census Tract","29095000300","White",1,0.25,"2024-08-10",NA,2022-10-01,10,2022
"35","Kansas City, MO","Census Tract","29095000300","White",6,1,"2024-08-10",NA,2022-11-01,11,2022
"36","Kansas City, MO","Census Tract","29095000300","White",1,1,"2024-08-10",NA,2022-12-01,12,2022
"37","Kansas City, MO","Census Tract","29095000300","White",3,0.75,"2024-08-10",NA,2023-01-01,1,2023
"38","Kansas City, MO","Census Tract","29095000300","White",2,1,"2024-08-10",NA,2023-02-01,2,2023
"39","Kansas City, MO","Census Tract","29095000300","White",3,3,"2024-08-10",NA,2023-03-01,3,2023
"40","Kansas City, MO","Census Tract","29095000300","White",0,1.5,"2024-08-10",NA,2023-04-01,4,2023
"41","Kansas City, MO","Census Tract","29095000300","White",0,1.5,"2024-08-10",NA,2023-05-01,5,2023
"42","Kansas City, MO","Census Tract","29095000300","White",1,1,"2024-08-10",NA,2023-06-01,6,2023
"43","Kansas City, MO","Census Tract","29095000300","White",3,4.25,"2024-08-10",NA,2023-07-01,7,2023
"44","Kansas City, MO","Census Tract","29095000300","White",6,1,"2024-08-10",NA,2023-08-01,8,2023
"45","Kansas City, MO","Census Tract","29095000300","White",1,2,"2024-08-10",NA,2023-09-01,9,2023
