"","city","type","GEOID","racial_majority","month","filings_2020","filings_avg","last_updated","xcourtcofips"
"1","Pittsburgh, PA","Zip Code","15001","White","01/2020",0,0.25,"2024-08-10",NA
"2","Pittsburgh, PA","Zip Code","15001","White","02/2020",0,0,"2024-08-10",NA
"3","Pittsburgh, PA","Zip Code","15001","White","03/2020",0,0,"2024-08-10",NA
"4","Pittsburgh, PA","Zip Code","15001","White","04/2020",0,0,"2024-08-10",NA
"5","Pittsburgh, PA","Zip Code","15001","White","05/2020",0,0,"2024-08-10",NA
"6","Pittsburgh, PA","Zip Code","15001","White","06/2020",0,0,"2024-08-10",NA
"7","Pittsburgh, PA","Zip Code","15001","White","07/2020",0,0,"2024-08-10",NA
"8","Pittsburgh, PA","Zip Code","15001","White","08/2020",0,0,"2024-08-10",NA
"9","Pittsburgh, PA","Zip Code","15001","White","09/2020",0,0,"2024-08-10",NA
"10","Pittsburgh, PA","Zip Code","15001","White","10/2020",0,0,"2024-08-10",NA
"11","Pittsburgh, PA","Zip Code","15001","White","11/2020",0,0,"2024-08-10",NA
"12","Pittsburgh, PA","Zip Code","15001","White","12/2020",0,0.25,"2024-08-10",NA
"13","Pittsburgh, PA","Zip Code","15001","White","01/2021",0,0.25,"2024-08-10",NA
"14","Pittsburgh, PA","Zip Code","15001","White","02/2021",0,0,"2024-08-10",NA
"15","Pittsburgh, PA","Zip Code","15001","White","03/2021",0,0,"2024-08-10",NA
"16","Pittsburgh, PA","Zip Code","15001","White","04/2021",0,0,"2024-08-10",NA
"17","Pittsburgh, PA","Zip Code","15001","White","05/2021",0,0,"2024-08-10",NA
"18","Pittsburgh, PA","Zip Code","15001","White","06/2021",0,0,"2024-08-10",NA
"19","Pittsburgh, PA","Zip Code","15001","White","07/2021",0,0,"2024-08-10",NA
"20","Pittsburgh, PA","Zip Code","15001","White","08/2021",0,0,"2024-08-10",NA
"21","Pittsburgh, PA","Zip Code","15001","White","09/2021",0,0,"2024-08-10",NA
"22","Pittsburgh, PA","Zip Code","15001","White","10/2021",0,0,"2024-08-10",NA
"23","Pittsburgh, PA","Zip Code","15001","White","11/2021",0,0,"2024-08-10",NA
"24","Pittsburgh, PA","Zip Code","15001","White","12/2021",0,0.25,"2024-08-10",NA
"25","Pittsburgh, PA","Zip Code","15001","White","01/2022",0,0.25,"2024-08-10",NA
"26","Pittsburgh, PA","Zip Code","15001","White","02/2022",0,0,"2024-08-10",NA
"27","Pittsburgh, PA","Zip Code","15001","White","03/2022",0,0,"2024-08-10",NA
"28","Pittsburgh, PA","Zip Code","15001","White","04/2022",0,0,"2024-08-10",NA
"29","Pittsburgh, PA","Zip Code","15001","White","05/2022",0,0,"2024-08-10",NA
"30","Pittsburgh, PA","Zip Code","15001","White","06/2022",0,0,"2024-08-10",NA
"31","Pittsburgh, PA","Zip Code","15001","White","07/2022",0,0,"2024-08-10",NA
"32","Pittsburgh, PA","Zip Code","15001","White","08/2022",0,0,"2024-08-10",NA
"33","Pittsburgh, PA","Zip Code","15001","White","09/2022",0,0,"2024-08-10",NA
"34","Pittsburgh, PA","Zip Code","15001","White","10/2022",0,0,"2024-08-10",NA
"35","Pittsburgh, PA","Zip Code","15001","White","11/2022",0,0,"2024-08-10",NA
"36","Pittsburgh, PA","Zip Code","15001","White","12/2022",0,0.25,"2024-08-10",NA
"37","Pittsburgh, PA","Zip Code","15001","White","01/2023",0,0.25,"2024-08-10",NA
"38","Pittsburgh, PA","Zip Code","15001","White","02/2023",0,0,"2024-08-10",NA
"39","Pittsburgh, PA","Zip Code","15001","White","03/2023",0,0,"2024-08-10",NA
"40","Pittsburgh, PA","Zip Code","15001","White","04/2023",0,0,"2024-08-10",NA
"41","Pittsburgh, PA","Zip Code","15001","White","05/2023",0,0,"2024-08-10",NA
"42","Pittsburgh, PA","Zip Code","15001","White","06/2023",0,0,"2024-08-10",NA
"43","Pittsburgh, PA","Zip Code","15001","White","07/2023",0,0,"2024-08-10",NA
"44","Pittsburgh, PA","Zip Code","15001","White","08/2023",0,0,"2024-08-10",NA
"45","Pittsburgh, PA","Zip Code","15001","White","09/2023",0,0,"2024-08-10",NA
"46","Pittsburgh, PA","Zip Code","15001","White","10/2023",0,0,"2024-08-10",NA
"47","Pittsburgh, PA","Zip Code","15001","White","11/2023",0,0,"2024-08-10",NA
"48","Pittsburgh, PA","Zip Code","15001","White","12/2023",0,0.25,"2024-08-10",NA
"49","Pittsburgh, PA","Zip Code","15001","White","01/2024",0,0.25,"2024-08-10",NA
"50","Pittsburgh, PA","Zip Code","15001","White","02/2024",0,0,"2024-08-10",NA
"51","Pittsburgh, PA","Zip Code","15001","White","03/2024",0,0,"2024-08-10",NA
"52","Pittsburgh, PA","Zip Code","15001","White","04/2024",0,0,"2024-08-10",NA
"53","Pittsburgh, PA","Zip Code","15001","White","05/2024",0,0,"2024-08-10",NA
"54","Pittsburgh, PA","Zip Code","15001","White","06/2024",0,0,"2024-08-10",NA
"55","Pittsburgh, PA","Zip Code","15001","White","07/2024",0,0,"2024-08-10",NA
"56","Pittsburgh, PA","Zip Code","15001","White","08/2024",0,0,"2024-08-10",NA
"57","Pittsburgh, PA","Zip Code","15003","White","01/2020",0,0.5,"2024-08-10",NA
"58","Pittsburgh, PA","Zip Code","15003","White","02/2020",0,0.5,"2024-08-10",NA
"59","Pittsburgh, PA","Zip Code","15003","White","03/2020",0,0.75,"2024-08-10",NA
"60","Pittsburgh, PA","Zip Code","15003","White","04/2020",0,0.5,"2024-08-10",NA
"61","Pittsburgh, PA","Zip Code","15003","White","05/2020",0,0.45,"2024-08-10",NA
"62","Pittsburgh, PA","Zip Code","15003","White","06/2020",0,0.9,"2024-08-10",NA
"63","Pittsburgh, PA","Zip Code","15003","White","07/2020",0,0.85,"2024-08-10",NA
"64","Pittsburgh, PA","Zip Code","15003","White","08/2020",0,0.75,"2024-08-10",NA
"65","Pittsburgh, PA","Zip Code","15003","White","09/2020",0,0.75,"2024-08-10",NA
"66","Pittsburgh, PA","Zip Code","15003","White","10/2020",1,0.4,"2024-08-10",NA
"67","Pittsburgh, PA","Zip Code","15003","White","11/2020",0,0.2,"2024-08-10",NA
"68","Pittsburgh, PA","Zip Code","15003","White","12/2020",0,0.533333333333333,"2024-08-10",NA
"69","Pittsburgh, PA","Zip Code","15003","White","01/2021",0,0.5,"2024-08-10",NA
"70","Pittsburgh, PA","Zip Code","15003","White","02/2021",0,0.5,"2024-08-10",NA
"71","Pittsburgh, PA","Zip Code","15003","White","03/2021",0,0.75,"2024-08-10",NA
"72","Pittsburgh, PA","Zip Code","15003","White","04/2021",0,0.5,"2024-08-10",NA
"73","Pittsburgh, PA","Zip Code","15003","White","05/2021",0,0.45,"2024-08-10",NA
"74","Pittsburgh, PA","Zip Code","15003","White","06/2021",1,0.9,"2024-08-10",NA
"75","Pittsburgh, PA","Zip Code","15003","White","07/2021",0,0.85,"2024-08-10",NA
"76","Pittsburgh, PA","Zip Code","15003","White","08/2021",0,0.75,"2024-08-10",NA
"77","Pittsburgh, PA","Zip Code","15003","White","09/2021",0,0.75,"2024-08-10",NA
"78","Pittsburgh, PA","Zip Code","15003","White","10/2021",0,0.4,"2024-08-10",NA
"79","Pittsburgh, PA","Zip Code","15003","White","11/2021",0,0.2,"2024-08-10",NA
"80","Pittsburgh, PA","Zip Code","15003","White","12/2021",0,0.533333333333333,"2024-08-10",NA
"81","Pittsburgh, PA","Zip Code","15003","White","01/2022",0,0.5,"2024-08-10",NA
"82","Pittsburgh, PA","Zip Code","15003","White","02/2022",0,0.5,"2024-08-10",NA
"83","Pittsburgh, PA","Zip Code","15003","White","03/2022",0,0.75,"2024-08-10",NA
"84","Pittsburgh, PA","Zip Code","15003","White","04/2022",0,0.5,"2024-08-10",NA
"85","Pittsburgh, PA","Zip Code","15003","White","05/2022",0,0.45,"2024-08-10",NA
"86","Pittsburgh, PA","Zip Code","15003","White","06/2022",0,0.9,"2024-08-10",NA
"87","Pittsburgh, PA","Zip Code","15003","White","07/2022",0,0.85,"2024-08-10",NA
"88","Pittsburgh, PA","Zip Code","15003","White","08/2022",0,0.75,"2024-08-10",NA
"89","Pittsburgh, PA","Zip Code","15003","White","09/2022",0,0.75,"2024-08-10",NA
"90","Pittsburgh, PA","Zip Code","15003","White","10/2022",0,0.4,"2024-08-10",NA
"91","Pittsburgh, PA","Zip Code","15003","White","11/2022",0,0.2,"2024-08-10",NA
"92","Pittsburgh, PA","Zip Code","15003","White","12/2022",0,0.533333333333333,"2024-08-10",NA
"93","Pittsburgh, PA","Zip Code","15003","White","01/2023",1,0.5,"2024-08-10",NA
"94","Pittsburgh, PA","Zip Code","15003","White","02/2023",0,0.5,"2024-08-10",NA
"95","Pittsburgh, PA","Zip Code","15003","White","03/2023",0,0.75,"2024-08-10",NA
"96","Pittsburgh, PA","Zip Code","15003","White","04/2023",1,0.5,"2024-08-10",NA
"97","Pittsburgh, PA","Zip Code","15003","White","05/2023",0,0.45,"2024-08-10",NA
"98","Pittsburgh, PA","Zip Code","15003","White","06/2023",0,0.9,"2024-08-10",NA
"99","Pittsburgh, PA","Zip Code","15003","White","07/2023",0,0.85,"2024-08-10",NA
"100","Pittsburgh, PA","Zip Code","15003","White","08/2023",0,0.75,"2024-08-10",NA
"101","Pittsburgh, PA","Zip Code","15003","White","09/2023",0,0.75,"2024-08-10",NA
"102","Pittsburgh, PA","Zip Code","15003","White","10/2023",0,0.4,"2024-08-10",NA
"103","Pittsburgh, PA","Zip Code","15003","White","11/2023",0,0.2,"2024-08-10",NA
"104","Pittsburgh, PA","Zip Code","15003","White","12/2023",0,0.533333333333333,"2024-08-10",NA
"105","Pittsburgh, PA","Zip Code","15003","White","01/2024",0,0.5,"2024-08-10",NA
"106","Pittsburgh, PA","Zip Code","15003","White","02/2024",0,0.5,"2024-08-10",NA
"107","Pittsburgh, PA","Zip Code","15003","White","03/2024",0,0.75,"2024-08-10",NA
"108","Pittsburgh, PA","Zip Code","15003","White","04/2024",0,0.5,"2024-08-10",NA
"109","Pittsburgh, PA","Zip Code","15003","White","05/2024",0,0.45,"2024-08-10",NA
"110","Pittsburgh, PA","Zip Code","15003","White","06/2024",0,0.9,"2024-08-10",NA
"111","Pittsburgh, PA","Zip Code","15003","White","07/2024",0,0.85,"2024-08-10",NA
"112","Pittsburgh, PA","Zip Code","15003","White","08/2024",0,0.25,"2024-08-10",NA
"113","Pittsburgh, PA","Zip Code","15005","White","01/2020",0,0,"2024-08-10",NA
"114","Pittsburgh, PA","Zip Code","15005","White","02/2020",0,0,"2024-08-10",NA
"115","Pittsburgh, PA","Zip Code","15005","White","03/2020",0,0,"2024-08-10",NA
"116","Pittsburgh, PA","Zip Code","15005","White","04/2020",0,0,"2024-08-10",NA
"117","Pittsburgh, PA","Zip Code","15005","White","05/2020",0,0,"2024-08-10",NA
"118","Pittsburgh, PA","Zip Code","15005","White","06/2020",0,0,"2024-08-10",NA
"119","Pittsburgh, PA","Zip Code","15005","White","07/2020",0,0.25,"2024-08-10",NA
"120","Pittsburgh, PA","Zip Code","15005","White","08/2020",0,0,"2024-08-10",NA
"121","Pittsburgh, PA","Zip Code","15005","White","09/2020",0,0,"2024-08-10",NA
"122","Pittsburgh, PA","Zip Code","15005","White","10/2020",0,0,"2024-08-10",NA
"123","Pittsburgh, PA","Zip Code","15005","White","11/2020",0,0,"2024-08-10",NA
"124","Pittsburgh, PA","Zip Code","15005","White","12/2020",0,0,"2024-08-10",NA
"125","Pittsburgh, PA","Zip Code","15005","White","01/2021",0,0,"2024-08-10",NA
"126","Pittsburgh, PA","Zip Code","15005","White","02/2021",0,0,"2024-08-10",NA
"127","Pittsburgh, PA","Zip Code","15005","White","03/2021",0,0,"2024-08-10",NA
"128","Pittsburgh, PA","Zip Code","15005","White","04/2021",0,0,"2024-08-10",NA
"129","Pittsburgh, PA","Zip Code","15005","White","05/2021",0,0,"2024-08-10",NA
"130","Pittsburgh, PA","Zip Code","15005","White","06/2021",0,0,"2024-08-10",NA
"131","Pittsburgh, PA","Zip Code","15005","White","07/2021",0,0.25,"2024-08-10",NA
"132","Pittsburgh, PA","Zip Code","15005","White","08/2021",0,0,"2024-08-10",NA
"133","Pittsburgh, PA","Zip Code","15005","White","09/2021",0,0,"2024-08-10",NA
"134","Pittsburgh, PA","Zip Code","15005","White","10/2021",0,0,"2024-08-10",NA
"135","Pittsburgh, PA","Zip Code","15005","White","11/2021",0,0,"2024-08-10",NA
"136","Pittsburgh, PA","Zip Code","15005","White","12/2021",0,0,"2024-08-10",NA
"137","Pittsburgh, PA","Zip Code","15005","White","01/2022",0,0,"2024-08-10",NA
"138","Pittsburgh, PA","Zip Code","15005","White","02/2022",0,0,"2024-08-10",NA
"139","Pittsburgh, PA","Zip Code","15005","White","03/2022",0,0,"2024-08-10",NA
"140","Pittsburgh, PA","Zip Code","15005","White","04/2022",0,0,"2024-08-10",NA
"141","Pittsburgh, PA","Zip Code","15005","White","05/2022",0,0,"2024-08-10",NA
"142","Pittsburgh, PA","Zip Code","15005","White","06/2022",0,0,"2024-08-10",NA
"143","Pittsburgh, PA","Zip Code","15005","White","07/2022",0,0.25,"2024-08-10",NA
"144","Pittsburgh, PA","Zip Code","15005","White","08/2022",0,0,"2024-08-10",NA
"145","Pittsburgh, PA","Zip Code","15005","White","09/2022",0,0,"2024-08-10",NA
"146","Pittsburgh, PA","Zip Code","15005","White","10/2022",0,0,"2024-08-10",NA
"147","Pittsburgh, PA","Zip Code","15005","White","11/2022",0,0,"2024-08-10",NA
"148","Pittsburgh, PA","Zip Code","15005","White","12/2022",0,0,"2024-08-10",NA
"149","Pittsburgh, PA","Zip Code","15005","White","01/2023",0,0,"2024-08-10",NA
"150","Pittsburgh, PA","Zip Code","15005","White","02/2023",0,0,"2024-08-10",NA
"151","Pittsburgh, PA","Zip Code","15005","White","03/2023",0,0,"2024-08-10",NA
"152","Pittsburgh, PA","Zip Code","15005","White","04/2023",0,0,"2024-08-10",NA
"153","Pittsburgh, PA","Zip Code","15005","White","05/2023",0,0,"2024-08-10",NA
"154","Pittsburgh, PA","Zip Code","15005","White","06/2023",0,0,"2024-08-10",NA
"155","Pittsburgh, PA","Zip Code","15005","White","07/2023",0,0.25,"2024-08-10",NA
"156","Pittsburgh, PA","Zip Code","15005","White","08/2023",0,0,"2024-08-10",NA
"157","Pittsburgh, PA","Zip Code","15005","White","09/2023",0,0,"2024-08-10",NA
"158","Pittsburgh, PA","Zip Code","15005","White","10/2023",0,0,"2024-08-10",NA
"159","Pittsburgh, PA","Zip Code","15005","White","11/2023",0,0,"2024-08-10",NA
"160","Pittsburgh, PA","Zip Code","15005","White","12/2023",0,0,"2024-08-10",NA
"161","Pittsburgh, PA","Zip Code","15005","White","01/2024",0,0,"2024-08-10",NA
"162","Pittsburgh, PA","Zip Code","15005","White","02/2024",0,0,"2024-08-10",NA
"163","Pittsburgh, PA","Zip Code","15005","White","03/2024",0,0,"2024-08-10",NA
"164","Pittsburgh, PA","Zip Code","15005","White","04/2024",0,0,"2024-08-10",NA
"165","Pittsburgh, PA","Zip Code","15005","White","05/2024",0,0,"2024-08-10",NA
"166","Pittsburgh, PA","Zip Code","15005","White","06/2024",0,0,"2024-08-10",NA
"167","Pittsburgh, PA","Zip Code","15005","White","07/2024",0,0.25,"2024-08-10",NA
"168","Pittsburgh, PA","Zip Code","15005","White","08/2024",0,0,"2024-08-10",NA
"169","Pittsburgh, PA","Zip Code","15006","White","01/2020",0,0,"2024-08-10",NA
"170","Pittsburgh, PA","Zip Code","15006","White","02/2020",0,0,"2024-08-10",NA
"171","Pittsburgh, PA","Zip Code","15006","White","03/2020",0,0.25,"2024-08-10",NA
"172","Pittsburgh, PA","Zip Code","15006","White","04/2020",0,0,"2024-08-10",NA
"173","Pittsburgh, PA","Zip Code","15006","White","05/2020",0,0,"2024-08-10",NA
"174","Pittsburgh, PA","Zip Code","15006","White","06/2020",0,0.2,"2024-08-10",NA
"175","Pittsburgh, PA","Zip Code","15006","White","07/2020",0,0,"2024-08-10",NA
"176","Pittsburgh, PA","Zip Code","15006","White","08/2020",0,0,"2024-08-10",NA
"177","Pittsburgh, PA","Zip Code","15006","White","09/2020",1,0,"2024-08-10",NA
"178","Pittsburgh, PA","Zip Code","15006","White","10/2020",0,0,"2024-08-10",NA
"179","Pittsburgh, PA","Zip Code","15006","White","11/2020",0,0,"2024-08-10",NA
"180","Pittsburgh, PA","Zip Code","15006","White","12/2020",0,0,"2024-08-10",NA
"181","Pittsburgh, PA","Zip Code","15006","White","01/2021",0,0,"2024-08-10",NA
"182","Pittsburgh, PA","Zip Code","15006","White","02/2021",0,0,"2024-08-10",NA
"183","Pittsburgh, PA","Zip Code","15006","White","03/2021",0,0.25,"2024-08-10",NA
"184","Pittsburgh, PA","Zip Code","15006","White","04/2021",0,0,"2024-08-10",NA
"185","Pittsburgh, PA","Zip Code","15006","White","05/2021",0,0,"2024-08-10",NA
"186","Pittsburgh, PA","Zip Code","15006","White","06/2021",0,0.2,"2024-08-10",NA
"187","Pittsburgh, PA","Zip Code","15006","White","07/2021",0,0,"2024-08-10",NA
"188","Pittsburgh, PA","Zip Code","15006","White","08/2021",0,0,"2024-08-10",NA
"189","Pittsburgh, PA","Zip Code","15006","White","09/2021",0,0,"2024-08-10",NA
"190","Pittsburgh, PA","Zip Code","15006","White","10/2021",0,0,"2024-08-10",NA
"191","Pittsburgh, PA","Zip Code","15006","White","11/2021",0,0,"2024-08-10",NA
"192","Pittsburgh, PA","Zip Code","15006","White","12/2021",0,0,"2024-08-10",NA
"193","Pittsburgh, PA","Zip Code","15006","White","01/2022",0,0,"2024-08-10",NA
"194","Pittsburgh, PA","Zip Code","15006","White","02/2022",0,0,"2024-08-10",NA
"195","Pittsburgh, PA","Zip Code","15006","White","03/2022",0,0.25,"2024-08-10",NA
"196","Pittsburgh, PA","Zip Code","15006","White","04/2022",0,0,"2024-08-10",NA
"197","Pittsburgh, PA","Zip Code","15006","White","05/2022",0,0,"2024-08-10",NA
"198","Pittsburgh, PA","Zip Code","15006","White","06/2022",0,0.2,"2024-08-10",NA
"199","Pittsburgh, PA","Zip Code","15006","White","07/2022",0,0,"2024-08-10",NA
"200","Pittsburgh, PA","Zip Code","15006","White","08/2022",0,0,"2024-08-10",NA
"201","Pittsburgh, PA","Zip Code","15006","White","09/2022",0,0,"2024-08-10",NA
"202","Pittsburgh, PA","Zip Code","15006","White","10/2022",0,0,"2024-08-10",NA
"203","Pittsburgh, PA","Zip Code","15006","White","11/2022",0,0,"2024-08-10",NA
"204","Pittsburgh, PA","Zip Code","15006","White","12/2022",0,0,"2024-08-10",NA
"205","Pittsburgh, PA","Zip Code","15006","White","01/2023",0,0,"2024-08-10",NA
"206","Pittsburgh, PA","Zip Code","15006","White","02/2023",0,0,"2024-08-10",NA
"207","Pittsburgh, PA","Zip Code","15006","White","03/2023",0,0.25,"2024-08-10",NA
"208","Pittsburgh, PA","Zip Code","15006","White","04/2023",0,0,"2024-08-10",NA
"209","Pittsburgh, PA","Zip Code","15006","White","05/2023",0,0,"2024-08-10",NA
"210","Pittsburgh, PA","Zip Code","15006","White","06/2023",0,0.2,"2024-08-10",NA
"211","Pittsburgh, PA","Zip Code","15006","White","07/2023",0,0,"2024-08-10",NA
"212","Pittsburgh, PA","Zip Code","15006","White","08/2023",0,0,"2024-08-10",NA
"213","Pittsburgh, PA","Zip Code","15006","White","09/2023",0,0,"2024-08-10",NA
"214","Pittsburgh, PA","Zip Code","15006","White","10/2023",0,0,"2024-08-10",NA
"215","Pittsburgh, PA","Zip Code","15006","White","11/2023",0,0,"2024-08-10",NA
"216","Pittsburgh, PA","Zip Code","15006","White","12/2023",0,0,"2024-08-10",NA
